Area_SqFt,Rooms,Build_Year,Location,Street_Type,Furnishing,Property_Type,Has_Pool,Price
2473.192784,4,1992,Jaipur,Residential Lane,Furnished,Apartment,No,568486
2353.472711,4,2006,Indore,Corner Plot,Unfurnished,Apartment,Yes,577214
2212.222005,3,2012,Jaipur,Highway Facing,Semi-Furnished,Duplex,No,581300
2823.886596,6,1993,Lucknow,Main Road,Unfurnished,Villa,Yes,794614
1869.648721,5,2012,Jaipur,Corner Plot,Semi-Furnished,Apartment,No,493086
2073.80225,5,1986,Kanpur,Residential Lane,Semi-Furnished,Apartment,No,470693
2103.042886,3,2020,Indore,Corner Plot,,Apartment,No,552164
4316.818615,6,2008,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,988286.819
2520.167537,4,2019,Prayagraj,Residential Lane,Semi-Furnished,Apartment,No,583210
2382.194887,3,2017,Jaipur,Gated Society,Semi-Furnished,Independent House,Yes,694155
2160.394433,6,1998,Prayagraj,Residential Lane,Furnished,Apartment,No,552135
2117.206378,4,2016,Lucknow,Gated Society,Semi-Furnished,Duplex,No,608117
1906.07095,4,2013,Indore,Highway Facing,Semi-Furnished,Duplex,Yes,551382
1393.167663,6,1990,Lucknow,Corner Plot,Semi-Furnished,Duplex,No,480838
1774.276388,2,2023,Delhi,Main Road,Semi-Furnished,Apartment,No,516094
1457.835515,7,1992,Kanpur,Gated Society,Semi-Furnished,Apartment,No,423867
1833.666659,2,1996,Noida,Highway Facing,Furnished,Apartment,No,461212
2256.291225,3,2012,Prayagraj,Main Road,Semi-Furnished,Independent House,Yes,594145
825.6824721,7,2016,Jaipur,Highway Facing,Semi-Furnished,Apartment,No,373669
2124.489948,3,1990,Jaipur,Main Road,Furnished,Independent House,No,587632
2634.320043,5,2020,Gurugram,Highway Facing,Furnished,Apartment,Yes,759944
2121.095774,3,2024,Lucknow,Main Road,Furnished,Duplex,Yes,670503
,5,2000,Delhi,Corner Plot,Semi-Furnished,Apartment,No,585692
2342.935537,2,2019,Indore,Highway Facing,Unfurnished,Apartment,No,513401
2669.698783,7,2009,Prayagraj,Residential Lane,Furnished,Independent House,No,741340
2777.141066,2,2020,Delhi,Gated Society,Furnished,Apartment,No,767737
2676.976224,2,1996,Kanpur,Gated Society,Semi-Furnished,Duplex,No,664507
1134.993085,2,2012,Delhi,Gated Society,Furnished,Independent House,No,471846
3013.916826,2,2012,Kanpur,Gated Society,Unfurnished,Independent House,No,692447
2129.817363,7,2015,Delhi,Corner Plot,Furnished,Apartment,No,686516
1954.416776,3,2009,Kanpur,Residential Lane,Unfurnished,Apartment,No,428810
2549.311903,3,2011,Noida,Main Road,Unfurnished,Apartment,No,583833
2447.375721,3,2010,Delhi,Gated Society,,Apartment,No,720548
1549.203908,7,2000,Gurugram,Corner Plot,Semi-Furnished,Apartment,Yes,553767
1539.927544,3,2006,Kanpur,Main Road,Furnished,Villa,No,551212
1708.78385,2,1992,Lucknow,Corner Plot,Semi-Furnished,Apartment,No,376354
2225.064512,4,2024,Prayagraj,Residential Lane,Semi-Furnished,Apartment,No,509383
1836.017444,5,2010,Prayagraj,Main Road,Semi-Furnished,Apartment,Yes,524827
2136.489625,7,2009,Prayagraj,Main Road,Unfurnished,Independent House,No,603139
3367.185908,4,1996,Gurugram,Gated Society,Furnished,Apartment,No,851078
2584.50081,5,2017,Prayagraj,Residential Lane,Semi-Furnished,Independent House,No,654808
2129.373319,3,2003,Delhi,Gated Society,Semi-Furnished,Independent House,No,638105
2389.237472,5,2008,Gurugram,Corner Plot,Furnished,Villa,No,797935
2445.459141,2,2017,Gurugram,Corner Plot,Furnished,Apartment,No,650435
1969.820115,3,2019,Noida,Gated Society,Unfurnished,Apartment,No,528162
1875.849384,5,1995,Lucknow,Main Road,Unfurnished,Apartment,No,470946
2503.455356,4,2019,Noida,Main Road,Unfurnished,Apartment,No,611440
3054.072877,2,2019,Delhi,Main Road,,Villa,Yes,894422
2575.074134,2,2020,Delhi,Highway Facing,Furnished,Apartment,Yes,701929
3251.774702,6,1989,Delhi,Corner Plot,Semi-Furnished,Villa,No,942094
2543.265899,6,2023,Noida,Gated Society,Semi-Furnished,Independent House,No,779298
2688.941362,2,2022,Prayagraj,Residential Lane,Semi-Furnished,Duplex,Yes,679739
5648.321783,7,2003,Prayagraj,Main Road,Unfurnished,Apartment,No,1355674.054
2302.416789,5,1990,Gurugram,Gated Society,Semi-Furnished,Independent House,No,690306
1764.554012,7,1987,Noida,Corner Plot,Semi-Furnished,Independent House,No,544324
2556.15696,2,1987,Kanpur,Main Road,Semi-Furnished,Apartment,No,532557
2011.23932,,2016,Jaipur,Gated Society,Furnished,Duplex,No,698661
2107.561066,4,2004,Jaipur,Main Road,Furnished,Apartment,Yes,587094
2990.21507,4,1996,Indore,Corner Plot,Furnished,Apartment,No,662008
2454.498373,3,2012,Delhi,Corner Plot,Unfurnished,Independent House,Yes,678874
1148.011416,5,1997,Prayagraj,Gated Society,Unfurnished,Villa,No,453967
1473.871736,7,1989,Delhi,Main Road,Semi-Furnished,Duplex,Yes,648863
2954.807788,2,2006,Delhi,Gated Society,Furnished,Apartment,No,744065
2320.275701,6,2015,Gurugram,Gated Society,Semi-Furnished,Independent House,No,722931
1845.648651,6,1998,Delhi,Highway Facing,Furnished,Apartment,Yes,641824
2384.771809,3,2012,Jaipur,Residential Lane,Semi-Furnished,Independent House,No,598958
1915.148259,2,1989,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,581398
2968.236468,7,1986,Jaipur,Corner Plot,Unfurnished,Independent House,No,713664
2652.843884,4,2018,Kanpur,Main Road,Unfurnished,Apartment,No,631656
2739.851057,6,2013,Indore,Main Road,Semi-Furnished,Apartment,Yes,715326
2411.235997,6,1986,Gurugram,Highway Facing,Furnished,Apartment,No,646834
1594.311452,2,1987,Gurugram,Gated Society,Unfurnished,Independent House,No,473554
2538.85866,3,2012,Kanpur,Gated Society,Semi-Furnished,Independent House,No,633278
2632.318676,2,1998,Gurugram,Main Road,Furnished,Independent House,No,691849
2267.378024,4,2001,Delhi,Main Road,Semi-Furnished,Duplex,No,722050
2639.830172,7,2010,Kanpur,Residential Lane,Semi-Furnished,Apartment,No,636412
2668.271151,7,2002,Gurugram,Highway Facing,Furnished,Apartment,No,716306
2097.202183,2,2001,Noida,Corner Plot,Furnished,Apartment,Yes,564036
1002.825236,2,2002,Jaipur,Residential Lane,Semi-Furnished,Independent House,Yes,337270
1095.837588,6,1990,Indore,Residential Lane,Furnished,Independent House,No,415465
2473.117987,6,2006,Kanpur,Corner Plot,Unfurnished,Apartment,Yes,603065
2638.616312,7,2014,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,823165
2883.083829,6,1990,Lucknow,Highway Facing,Furnished,Independent House,No,731411
3215.839182,7,2022,Gurugram,Corner Plot,Furnished,Independent House,No,920438
,6,2007,Noida,Gated Society,Semi-Furnished,Apartment,No,521253
2160.57928,7,2019,Delhi,Gated Society,Unfurnished,Duplex,No,723076
2404.13023,2,2018,Gurugram,Main Road,Semi-Furnished,Independent House,Yes,683072
2134.081994,,2021,Kanpur,Highway Facing,Furnished,Villa,Yes,661582
,5,2009,Delhi,Residential Lane,Unfurnished,Apartment,No,649645
1827.972839,7,2017,Jaipur,Main Road,Furnished,Duplex,No,598689
2656.17307,4,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,Yes,607511
2386.173024,6,2017,Jaipur,Highway Facing,Unfurnished,Apartment,No,578836
1599.735259,2,1988,Noida,Gated Society,Unfurnished,Apartment,No,387446
2907.83623,6,2013,Lucknow,Gated Society,Semi-Furnished,Independent House,Yes,806607
2427.389197,4,2011,Gurugram,Residential Lane,Furnished,Apartment,No,673112
1276.297395,4,1996,Indore,Residential Lane,Semi-Furnished,Apartment,No,315242
3180.18999,6,1992,Delhi,Corner Plot,Semi-Furnished,Apartment,No,804859
2018.899461,3,2020,Delhi,Main Road,Unfurnished,Independent House,Yes,631937
1269.144454,2,1993,Delhi,Gated Society,Semi-Furnished,Apartment,Yes,472178
2778.480907,7,1986,Gurugram,Residential Lane,Unfurnished,Independent House,No,717074
2459.428458,5,1990,Delhi,Main Road,Unfurnished,Apartment,Yes,636161
1830.142683,2,1991,Delhi,Main Road,Semi-Furnished,Duplex,No,546034
1463.204326,2,2016,Jaipur,Highway Facing,Furnished,Duplex,Yes,504457
1884.485896,6,2013,Indore,Highway Facing,Furnished,Villa,No,640564
2963.720248,5,2014,Jaipur,Corner Plot,Furnished,Duplex,No,745201
2117.567118,3,2003,Lucknow,Main Road,Furnished,Apartment,No,533862
2714.623116,2,1987,Gurugram,Gated Society,Semi-Furnished,Apartment,Yes,699320
2729.53488,5,1992,Indore,Highway Facing,Unfurnished,Duplex,Yes,693222
2048.304739,3,1991,Delhi,Gated Society,Furnished,Apartment,No,571059
1281.621455,3,1985,Lucknow,Highway Facing,Furnished,Apartment,No,365456
1343.853955,6,2021,Kanpur,Main Road,Semi-Furnished,Apartment,No,435202
2734.50248,2,2001,Indore,Residential Lane,Semi-Furnished,Apartment,No,559053
2293.975991,5,2010,Prayagraj,Residential Lane,Furnished,Apartment,No,553604
1303.723858,2,2021,Noida,Corner Plot,Furnished,Apartment,No,425004
2340.816354,5,1991,Delhi,Residential Lane,Semi-Furnished,Villa,No,746435
1179.867808,7,1985,Lucknow,Highway Facing,Furnished,Apartment,Yes,404564
1692.221715,2,2023,Kanpur,Residential Lane,Semi-Furnished,Duplex,No,438470
2172.605252,3,2020,Gurugram,Highway Facing,Unfurnished,Villa,No,647925
1935.932576,,1993,Delhi,Main Road,Semi-Furnished,Independent House,No,601040
1761.67671,3,2021,Gurugram,Residential Lane,Furnished,Apartment,Yes,549138
2565.055468,2,1996,Indore,Highway Facing,Semi-Furnished,Villa,No,670293
2907.447737,7,1992,Delhi,Corner Plot,Furnished,Duplex,Yes,912260
2436.290021,3,2005,Jaipur,Gated Society,Semi-Furnished,Apartment,No,588271
2092.198553,6,2002,Lucknow,Highway Facing,Furnished,Villa,No,660047
,4,2018,Gurugram,Residential Lane,Semi-Furnished,Apartment,No,584395
2426.913718,,2006,Noida,Main Road,Unfurnished,Independent House,No,643510
2245.256194,4,2023,Prayagraj,Main Road,Semi-Furnished,Independent House,Yes,652525
2705.905131,,1994,Jaipur,Corner Plot,Semi-Furnished,Apartment,Yes,610312
2034.801732,7,1988,Prayagraj,Main Road,Furnished,Duplex,No,595978
1675.597456,4,2021,Gurugram,Corner Plot,Semi-Furnished,Duplex,No,573055
2172.79496,6,2018,Lucknow,Corner Plot,Furnished,Duplex,Yes,716450
2841.906603,6,1994,Delhi,Residential Lane,Furnished,Duplex,Yes,880323
2457.709921,7,2007,Gurugram,Corner Plot,Unfurnished,Apartment,No,667335
2981.277336,7,2001,Indore,Highway Facing,Furnished,Apartment,Yes,753756
3496.557001,7,2021,Delhi,Highway Facing,Furnished,Independent House,Yes,1031661
2162.037617,2,1989,Noida,Corner Plot,,Apartment,No,496390
2181.780165,7,2021,Prayagraj,Corner Plot,Furnished,Duplex,Yes,740422
700,6,1987,Noida,Highway Facing,Unfurnished,Independent House,No,310136
2805.911193,5,2017,Indore,Main Road,Furnished,Apartment,Yes,735009
1689.451802,6,2015,Noida,Highway Facing,Furnished,Duplex,No,623800
1754.073244,3,2016,Gurugram,Main Road,Semi-Furnished,Apartment,Yes,557654
2078.341468,4,2014,Delhi,Residential Lane,Furnished,Independent House,Yes,689116
2296.550206,3,1988,Delhi,Corner Plot,Furnished,Independent House,No,657932
2857.275646,4,2002,Indore,Gated Society,Semi-Furnished,Independent House,No,686692
1262.202332,6,1995,Jaipur,Highway Facing,Furnished,Apartment,No,428089
2137.85452,5,2001,Delhi,Gated Society,Semi-Furnished,Apartment,Yes,644165
2334.090393,7,1995,Delhi,Corner Plot,Furnished,Independent House,No,728983
1184.275161,3,2022,Prayagraj,Highway Facing,Furnished,Independent House,Yes,422769
2722.776515,4,1992,Delhi,Main Road,Furnished,Apartment,Yes,739726
3094.585709,4,2013,Prayagraj,Corner Plot,Unfurnished,Apartment,Yes,642562
3100.962012,5,2020,Indore,Main Road,Furnished,Independent House,No,833192
2689.905946,4,1997,Prayagraj,Residential Lane,Semi-Furnished,Apartment,Yes,571063
2868.335255,5,2022,Gurugram,Highway Facing,Furnished,Apartment,No,775458
3521.114455,5,2017,Indore,Residential Lane,Furnished,Independent House,No,852194
2064.05244,2,1997,Kanpur,Residential Lane,Unfurnished,Apartment,Yes,421054
2705.616578,3,2024,Gurugram,Highway Facing,Furnished,Duplex,No,779556
2232.796703,3,1996,Noida,Corner Plot,Unfurnished,Apartment,No,503659
2262.993351,,2006,Gurugram,Main Road,Furnished,Apartment,No,626841
2557.654866,5,1997,Gurugram,Residential Lane,Furnished,Independent House,No,739390
2514.156656,6,2016,Noida,Residential Lane,Semi-Furnished,Apartment,No,664703
1930.665289,5,1994,Prayagraj,Gated Society,Semi-Furnished,Apartment,No,544813
2014.8575,6,2015,Indore,Corner Plot,Semi-Furnished,Independent House,No,593006
2215.728227,3,2016,Noida,Gated Society,Semi-Furnished,Independent House,No,673675
2924.31896,3,1996,Noida,Gated Society,Semi-Furnished,Apartment,No,702685
2471.716602,3,1998,Jaipur,Gated Society,,Independent House,No,610801
2498.980085,7,2023,Noida,Main Road,Semi-Furnished,Duplex,No,771345
2644.011219,2,2024,Lucknow,Gated Society,Furnished,Apartment,No,628098
2117.26908,3,2013,Kanpur,Main Road,Semi-Furnished,Apartment,No,516228
3025.417885,7,2004,Gurugram,Gated Society,Semi-Furnished,Independent House,No,876479
2588.966426,5,1999,Gurugram,Gated Society,Furnished,Duplex,No,802079
2023.107275,3,2013,Gurugram,Gated Society,Unfurnished,Apartment,No,538241
1876.180055,,2004,Indore,Highway Facing,Furnished,Duplex,No,532480
2703.980221,4,2007,Lucknow,Gated Society,Furnished,Duplex,No,749753
1797.023695,6,1985,Prayagraj,Gated Society,Unfurnished,Apartment,No,454562
2143.43571,3,2001,Jaipur,Main Road,,Duplex,No,600736
2808.039263,4,2015,Prayagraj,Gated Society,Semi-Furnished,Apartment,No,679814
2388.335271,2,2017,Indore,Gated Society,Unfurnished,Independent House,No,569691
2510.421643,6,2022,Kanpur,Highway Facing,Unfurnished,Villa,No,722076
2036.340073,4,1985,Kanpur,Main Road,Furnished,Independent House,Yes,597304
2844.36929,4,2013,Delhi,Main Road,Semi-Furnished,Apartment,No,773697
1546.332303,7,1994,Delhi,Highway Facing,Semi-Furnished,Duplex,No,591557
2249.284488,5,2020,Indore,Residential Lane,Semi-Furnished,Independent House,No,581606
2051.17006,,1999,Gurugram,Highway Facing,Furnished,Duplex,Yes,728523
,6,1988,Lucknow,Highway Facing,Unfurnished,Independent House,No,477505
1744.089556,7,2002,Prayagraj,Corner Plot,Unfurnished,Independent House,No,500679
1902.822799,2,2020,Kanpur,Main Road,Semi-Furnished,Independent House,No,510752
,,1993,Jaipur,Residential Lane,Furnished,Apartment,No,606210
2297.081202,2,2010,Lucknow,Residential Lane,,Duplex,No,573252
2765.861062,4,2020,Jaipur,Residential Lane,Furnished,Apartment,Yes,708111
2155.857525,6,2001,Prayagraj,Highway Facing,Semi-Furnished,Independent House,Yes,627133
1893.379518,6,2009,Gurugram,Gated Society,Semi-Furnished,Apartment,No,571752
3139.700503,4,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,No,691921
2293.018228,5,2024,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,585872
2839.057981,6,1986,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,616503
3129.300349,5,1987,Noida,Corner Plot,Semi-Furnished,Independent House,Yes,825744
2056.725791,7,2020,Prayagraj,Main Road,Furnished,Apartment,No,620294
2887.027353,5,2001,Indore,Corner Plot,Semi-Furnished,Apartment,No,650663
