,Price
0,508534.17338955915
1,721498.1921339768
2,523671.9257678116
3,485821.4686006647
4,587794.724998567
5,583938.6627076297
6,670191.8656566234
7,639359.0086523774
8,690958.7613485901
9,522979.9396616243
10,678027.7028733843
11,434612.89008212445
12,637927.7431989983
13,348292.2070702431
14,344901.9764391041
15,809485.874406077
16,643316.7877098847
17,575544.5138148728
18,557983.9154904217
19,446552.42244437145
20,637101.8925724938
21,843805.5205542988
22,637875.6217505571
23,632611.7490270664
24,751615.0115548009
25,596912.8106193504
26,617682.9737617656
27,711548.1695764876
28,696080.7004038007
29,688760.2400994765
30,743062.8660155494
31,667091.9132174717
32,631254.0750889396
33,435552.77530533157
34,394414.1052327628
35,1221301.8034723443
36,707233.9899643665
37,616017.031180283
38,688317.9878264556
39,653879.9002161768
40,729258.0983214892
41,527562.6868186941
42,752490.579578843
43,468755.3036533742
44,516134.2647804536
45,618602.9237200082
46,494134.62550978945
47,662772.4444282841
48,549667.2499516528
49,634314.4108273837
50,437684.1607285037
51,656498.3424723032
52,564550.2886916413
53,549760.1744753683
54,631984.534164026
55,460357.2422311727
56,854856.7654127516
57,418770.1650710435
58,718574.5420085503
59,589137.3371552012
60,600996.8541550892
61,708299.8417661719
62,593880.8030377668
63,766567.0213982045
64,468134.8173103278
65,467231.3436939719
66,481517.13457043393
67,602775.7473729196
68,529968.7440107573
69,791685.7656714852
70,601049.8546586552
71,715960.9716320033
72,595849.482125805
73,923962.3544506878
74,521984.0454624073
75,719432.9737593579
76,726807.7190499735
77,559920.5579781316
78,489804.1294043629
79,716723.297321907
80,746392.1142024396
81,571315.6809247468
82,584026.2537863676
83,713401.5692554179
84,679042.3319512159
85,616144.5841769688
86,643443.3372835417
87,514340.8662436986
88,645993.1135805992
89,682026.4266589975
90,768857.9087003731
91,614408.41023597
92,555595.270515145
93,601045.9308441437
94,688329.4629084929
95,570938.0467912172
96,524398.1200388263
97,399107.3203087767
98,669942.0494153865
99,737923.6220633248
100,775672.5263044047
101,408219.5069359887
102,598285.7082781156
103,772546.9584174714
104,460440.73122493265
105,868499.2132760093
106,605029.9128095395
107,474888.68341820774
108,810463.4085271589
109,493666.28713804873
110,634220.7219162469
111,600898.6821890884
112,562474.2952296997
113,739597.7697554295
114,457847.629125279
115,693355.8544704692
116,540990.0501442889
117,660190.3886524662
118,583861.9098129455
119,575802.0230073946
120,558358.0979995478
121,586891.0429527711
122,497167.00641262205
123,824390.5746346023
124,648980.2324687843
125,677487.8671731631
126,396432.2317344455
127,695529.5230770991
128,585721.0109235967
129,660452.6457281638
130,681567.0021495812
131,665932.7958623279
132,551932.6252270155
133,644817.6620958936
134,494543.1504964329
135,484936.2345151632
136,403893.63449989044
137,431094.35214242584
138,594950.0570126357
139,548015.10076471
140,646193.0989364713
141,650820.1272978564
142,538248.7273724604
143,619869.4089052523
144,637365.1003005358
145,513272.03682737565
146,606520.805238829
147,502790.5480744564
148,599898.022842874
149,520765.98908240325
150,665650.7342727114
151,506597.19558327924
152,606918.4528814577
153,371734.5524592205
154,690758.4804127025
155,669217.0901312404
156,502994.48256457114
157,393630.2811161508
158,714509.9614990347
159,782783.9459609465
160,449153.16446026973
161,569422.7457277079
162,572311.8725168747
163,732356.2984558599
164,505016.5027079632
165,671314.6250226723
166,635277.0633639533
167,636574.3198838497
168,557090.9489308309
169,517704.5664290143
170,579662.6274385876
171,503590.83174587047
172,567515.9278750793
173,557189.9763412365
174,767806.453442665
175,667797.3851971242
176,731614.3549305279
177,692395.0477545484
178,710566.5392357365
179,512358.47596199316
180,811641.3881937767
181,636114.1482831612
182,579981.916159462
183,536894.0671388593
184,488332.8517710012
185,725555.6461752934
186,591086.0489064907
187,514447.84321561636
188,530822.4706465715
189,684647.3575470968
190,557660.2159539813
191,524282.57410257444
192,602677.0657892544
193,696811.9828186815
194,561718.0376053716
195,434294.3660557952
196,778723.4764934777
197,562083.9611280294
198,608834.99074617
199,546567.18717514
200,588952.4121331078
201,667760.906807204
202,439810.70314154954
203,499717.3243231418
204,640186.9666289492
205,553484.3312448235
206,607287.1111925098
207,610872.5612675634
208,678114.609732561
209,642871.8135154728
210,552663.6230087191
211,501594.0003279856
212,585608.8644785839
213,594388.9262422365
214,741890.9947832882
215,729097.6221050222
216,485456.71476950793
217,701863.329796562
218,506998.51047938445
219,619104.1873738612
220,560446.989233473
221,639875.5113990547
222,708463.102139617
223,594978.2774343643
224,812498.9983526762
225,796030.4008099213
226,770948.6817472961
227,730869.1280170493
228,400086.52858356596
229,556279.0737070744
230,857832.4896746883
231,635297.1016362947
232,525993.8362021935
233,689883.9574070487
234,631729.3040471834
235,738370.2406599412
236,653277.0296474204
237,594872.794125085
238,531997.6616720725
239,588601.4902174779
240,659338.728191137
241,653511.571032063
242,661451.3043746473
243,528771.7952088816
244,531277.4644101462
245,487670.6011629212
246,466996.6632472759
247,518443.32775468164
248,583833.2042114886
249,472958.1770985471
250,642573.077298224
251,600929.9551394735
252,601627.8774689143
253,802781.3257416043
254,493712.9998671914
255,523698.2065956961
256,597149.3740049263
257,523795.33424951095
258,711297.6011306936
259,521118.25805761217
260,562328.9320021037
261,599041.7584868583
262,599317.3184963019
263,742044.0286270535
264,456537.5702078907
265,587474.5486697711
266,498599.7218020979
267,627454.1943545567
268,622179.2643636605
269,556356.8350695719
270,494637.9443991298
271,713602.4088631802
272,432754.4783614486
273,625044.1405490045
274,694611.794427803
275,572125.4298280199
276,530610.0829286843
277,487010.72026402847
278,762603.7487721585
279,452633.1721757503
280,631927.4196983725
281,664639.8667346899
282,529397.2667259139
283,645025.7997067425
284,1334953.8217376587
285,554402.8481487995
286,668090.859907576
287,586033.8995687834
288,575495.3352036788
289,571515.8075875773
290,522367.02819735685
291,452889.4436292587
292,585518.9932720617
293,603694.0674757594
294,396448.69802221557
295,530020.022134552
296,658644.0053217863
297,638285.4778214862
298,674023.5465954888
299,687461.5757811762
300,603297.0473717933
301,687477.0399883298
302,567452.2436679661
303,576927.7643098356
304,566981.5472687371
305,714938.8020461599
306,496340.0401886364
307,565716.347023576
308,540783.0076891826
